trial_id,rep,crop,variety,yield_part,yield,yield_moisture,yield_isfresh,dataset_id,record_id,on_farm,is_survey,country,location,longitude,latitude,geo_from_source,elevation,planting_date,harvest_date,N_fertilizer,P_fertilizer,K_fertilizer,irrigated
PTYL200910,2,potato,CIP381381.13,tubers,27777.7777777778,,TRUE,doi_10.21223_FBZ6JS,62,FALSE,FALSE,Kenya,kibrch,37.5166,0.1,TRUE,2275,2009-10-25,2010-02-16,,,,
PTYL200910,3,potato,CIP381381.13,tubers,28703.7037037037,,TRUE,doi_10.21223_FBZ6JS,63,FALSE,FALSE,Kenya,kibrch,37.5166,0.1,TRUE,2275,2009-10-25,2010-02-16,,,,
PTYL200910,4,potato,CIP381381.13,tubers,23148.1481481482,,TRUE,doi_10.21223_FBZ6JS,64,FALSE,FALSE,Kenya,kibrch,37.5166,0.1,TRUE,2275,2009-10-25,2010-02-16,,,,
PTYL200910,1,potato,CIP385524.9,tubers,50000,,TRUE,doi_10.21223_FBZ6JS,65,FALSE,FALSE,Kenya,kisima,37.4,0.1166,TRUE,2477,2009-10-25,2010-02-16,,,,
PTYL200910,2,potato,CIP385524.9,tubers,50000,,TRUE,doi_10.21223_FBZ6JS,66,FALSE,FALSE,Kenya,kisima,37.4,0.1166,TRUE,2477,2009-10-25,2010-02-16,,,,
PTYL200910,3,potato,CIP385524.9,tubers,50000,,TRUE,doi_10.21223_FBZ6JS,67,FALSE,FALSE,Kenya,kisima,37.4,0.1166,TRUE,2477,2009-10-25,2010-02-16,,,,
PTYL200910,4,potato,CIP385524.9,tubers,42592.5925925926,,TRUE,doi_10.21223_FBZ6JS,68,FALSE,FALSE,Kenya,kisima,37.4,0.1166,TRUE,2477,2009-10-25,2010-02-16,,,,
PTYL200910,1,potato,CIP391391.96,tubers,3703.7037037037,,TRUE,doi_10.21223_FBZ6JS,69,FALSE,FALSE,Kenya,kisima,37.4,0.1166,TRUE,2477,2009-10-25,2010-02-16,,,,
PTYL200910,2,potato,CIP391391.96,tubers,17592.5925925926,,TRUE,doi_10.21223_FBZ6JS,70,FALSE,FALSE,Kenya,kisima,37.4,0.1166,TRUE,2477,2009-10-25,2010-02-16,,,,
PTYL200910,3,potato,CIP391391.96,tubers,16666.6666666667,,TRUE,doi_10.21223_FBZ6JS,71,FALSE,FALSE,Kenya,kisima,37.4,0.1166,TRUE,2477,2009-10-25,2010-02-16,,,,
PTYL200910,4,potato,CIP391391.96,tubers,18518.5185185185,,TRUE,doi_10.21223_FBZ6JS,72,FALSE,FALSE,Kenya,kisima,37.4,0.1166,TRUE,2477,2009-10-25,2010-02-16,,,,
PTYL200910,1,potato,CIP392617.54,tubers,25000,,TRUE,doi_10.21223_FBZ6JS,73,FALSE,FALSE,Kenya,kisima,37.4,0.1166,TRUE,2477,2009-10-25,2010-02-16,,,,
PTYL200910,2,potato,CIP392617.54,tubers,12037.037037037,,TRUE,doi_10.21223_FBZ6JS,74,FALSE,FALSE,Kenya,kisima,37.4,0.1166,TRUE,2477,2009-10-25,2010-02-16,,,,
PTYL200910,3,potato,CIP392617.54,tubers,12037.037037037,,TRUE,doi_10.21223_FBZ6JS,75,FALSE,FALSE,Kenya,kisima,37.4,0.1166,TRUE,2477,2009-10-25,2010-02-16,,,,
PTYL200910,4,potato,CIP392617.54,tubers,25000,,TRUE,doi_10.21223_FBZ6JS,76,FALSE,FALSE,Kenya,kisima,37.4,0.1166,TRUE,2477,2009-10-25,2010-02-16,,,,
PTYL200910,1,potato,CIP392657.8,tubers,26851.8518518519,,TRUE,doi_10.21223_FBZ6JS,77,FALSE,FALSE,Kenya,kisima,37.4,0.1166,TRUE,2477,2009-10-25,2010-02-16,,,,
PTYL200910,2,potato,CIP392657.8,tubers,28703.7037037037,,TRUE,doi_10.21223_FBZ6JS,78,FALSE,FALSE,Kenya,kisima,37.4,0.1166,TRUE,2477,2009-10-25,2010-02-16,,,,
PTYL200910,3,potato,CIP392657.8,tubers,6481.48148148148,,TRUE,doi_10.21223_FBZ6JS,79,FALSE,FALSE,Kenya,kisima,37.4,0.1166,TRUE,2477,2009-10-25,2010-02-16,,,,
PTYL200910,4,potato,CIP392657.8,tubers,4629.62962962963,,TRUE,doi_10.21223_FBZ6JS,80,FALSE,FALSE,Kenya,kisima,37.4,0.1166,TRUE,2477,2009-10-25,2010-02-16,,,,
PTYL200910,1,potato,CIP393371.58,tubers,7407.40740740741,,TRUE,doi_10.21223_FBZ6JS,81,FALSE,FALSE,Kenya,kisima,37.4,0.1166,TRUE,2477,2009-10-25,2010-02-16,,,,
PTYL200910,2,potato,CIP393371.58,tubers,42592.5925925926,,TRUE,doi_10.21223_FBZ6JS,82,FALSE,FALSE,Kenya,kisima,37.4,0.1166,TRUE,2477,2009-10-25,2010-02-16,,,,
PTYL200910,3,potato,CIP393371.58,tubers,25000,,TRUE,doi_10.21223_FBZ6JS,83,FALSE,FALSE,Kenya,kisima,37.4,0.1166,TRUE,2477,2009-10-25,2010-02-16,,,,
PTYL200910,4,potato,CIP393371.58,tubers,16666.6666666667,,TRUE,doi_10.21223_FBZ6JS,84,FALSE,FALSE,Kenya,kisima,37.4,0.1166,TRUE,2477,2009-10-25,2010-02-16,,,,
PTYL200910,1,potato,CIP393385.39,tubers,38888.8888888889,,TRUE,doi_10.21223_FBZ6JS,85,FALSE,FALSE,Kenya,kisima,37.4,0.1166,TRUE,2477,2009-10-25,2010-02-16,,,,
PTYL200910,2,potato,CIP393385.39,tubers,39814.8148148148,,TRUE,doi_10.21223_FBZ6JS,86,FALSE,FALSE,Kenya,kisima,37.4,0.1166,TRUE,2477,2009-10-25,2010-02-16,,,,
PTYL200910,3,potato,CIP393385.39,tubers,42592.5925925926,,TRUE,doi_10.21223_FBZ6JS,87,FALSE,FALSE,Kenya,kisima,37.4,0.1166,TRUE,2477,2009-10-25,2010-02-16,,,,
