trial_id,plot_id,rep,crop,variety,yield_part,yield,yield_moisture,yield_isfresh,plant_density,dataset_id,record_id,on_farm,is_survey,country,location,longitude,latitude,geo_from_source,planting_date,harvest_date,N_fertilizer,P_fertilizer,K_fertilizer,irrigated
HDAREL_exp1,2_220,2,potato,CIP312927.017,,,,,33333.3333333333,doi_10.21223_HDAREL,51,FALSE,FALSE,Peru,Huancayo,,,FALSE,2019-11-21,2020-05-18,,,,
HDAREL_exp1,2_221,2,potato,CIP312913.022,,,,,33333.3333333333,doi_10.21223_HDAREL,52,FALSE,FALSE,Peru,Huancayo,,,FALSE,2019-11-21,2020-05-18,,,,
HDAREL_exp1,2_222,2,potato,CIP312903.077,,,,,33333.3333333333,doi_10.21223_HDAREL,53,FALSE,FALSE,Peru,Huancayo,,,FALSE,2019-11-21,2020-05-18,,,,
HDAREL_exp1,2_223,2,potato,CIP312900.155,,,,,33333.3333333333,doi_10.21223_HDAREL,54,FALSE,FALSE,Peru,Huancayo,,,FALSE,2019-11-21,2020-05-18,,,,
HDAREL_exp1,2_224,2,potato,CIP312887.075,,,,,33333.3333333333,doi_10.21223_HDAREL,55,FALSE,FALSE,Peru,Huancayo,,,FALSE,2019-11-21,2020-05-18,,,,
HDAREL_exp1,2_225,2,potato,CIP312895.056,,,,,33333.3333333333,doi_10.21223_HDAREL,56,FALSE,FALSE,Peru,Huancayo,,,FALSE,2019-11-21,2020-05-18,,,,
HDAREL_exp1,2_226,2,potato,CIP720201,,,,,33333.3333333333,doi_10.21223_HDAREL,57,FALSE,FALSE,Peru,Huancayo,,,FALSE,2019-11-21,2020-05-18,,,,
HDAREL_exp1,2_227,2,potato,CIP312899.078,,,,,33333.3333333333,doi_10.21223_HDAREL,58,FALSE,FALSE,Peru,Huancayo,,,FALSE,2019-11-21,2020-05-18,,,,
HDAREL_exp1,2_228,2,potato,CIP312889.082,,,,,33333.3333333333,doi_10.21223_HDAREL,59,FALSE,FALSE,Peru,Huancayo,,,FALSE,2019-11-21,2020-05-18,,,,
HDAREL_exp1,2_229,2,potato,CIP312925.108,,,,,33333.3333333333,doi_10.21223_HDAREL,60,FALSE,FALSE,Peru,Huancayo,,,FALSE,2019-11-21,2020-05-18,,,,
HDAREL_exp1,2_230,2,potato,CIP800048,,,,,33333.3333333333,doi_10.21223_HDAREL,61,FALSE,FALSE,Peru,Huancayo,,,FALSE,2019-11-21,2020-05-18,,,,
HDAREL_exp1,2_231,2,potato,CIP312927.048,,,,,33333.3333333333,doi_10.21223_HDAREL,62,FALSE,FALSE,Peru,Huancayo,,,FALSE,2019-11-21,2020-05-18,,,,
HDAREL_exp1,3_301,3,potato,CIP312887.075,,,,,33333.3333333333,doi_10.21223_HDAREL,63,FALSE,FALSE,Peru,Huancayo,,,FALSE,2019-11-21,2020-05-18,,,,
HDAREL_exp1,3_302,3,potato,CIP312905.156,,,,,33333.3333333333,doi_10.21223_HDAREL,64,FALSE,FALSE,Peru,Huancayo,,,FALSE,2019-11-21,2020-05-18,,,,
HDAREL_exp1,3_303,3,potato,CIP720201,,,,,33333.3333333333,doi_10.21223_HDAREL,65,FALSE,FALSE,Peru,Huancayo,,,FALSE,2019-11-21,2020-05-18,,,,
HDAREL_exp1,3_304,3,potato,CIP312890.040,,,,,33333.3333333333,doi_10.21223_HDAREL,66,FALSE,FALSE,Peru,Huancayo,,,FALSE,2019-11-21,2020-05-18,,,,
HDAREL_exp1,3_305,3,potato,CIP800048,,,,,33333.3333333333,doi_10.21223_HDAREL,67,FALSE,FALSE,Peru,Huancayo,,,FALSE,2019-11-21,2020-05-18,,,,
HDAREL_exp1,3_306,3,potato,CIP312917.029,,,,,33333.3333333333,doi_10.21223_HDAREL,68,FALSE,FALSE,Peru,Huancayo,,,FALSE,2019-11-21,2020-05-18,,,,
HDAREL_exp1,3_307,3,potato,CIP312888.048,,,,,33333.3333333333,doi_10.21223_HDAREL,69,FALSE,FALSE,Peru,Huancayo,,,FALSE,2019-11-21,2020-05-18,,,,
HDAREL_exp1,3_308,3,potato,CIP312913.022,,,,,33333.3333333333,doi_10.21223_HDAREL,70,FALSE,FALSE,Peru,Huancayo,,,FALSE,2019-11-21,2020-05-18,,,,
HDAREL_exp1,3_309,3,potato,CIP312900.155,,,,,33333.3333333333,doi_10.21223_HDAREL,71,FALSE,FALSE,Peru,Huancayo,,,FALSE,2019-11-21,2020-05-18,,,,
HDAREL_exp1,3_310,3,potato,CIP312903.066,,,,,33333.3333333333,doi_10.21223_HDAREL,72,FALSE,FALSE,Peru,Huancayo,,,FALSE,2019-11-21,2020-05-18,,,,
HDAREL_exp1,3_311,3,potato,CIP312909.046,,,,,33333.3333333333,doi_10.21223_HDAREL,73,FALSE,FALSE,Peru,Huancayo,,,FALSE,2019-11-21,2020-05-18,,,,
HDAREL_exp1,3_312,3,potato,CIP312927.048,,,,,33333.3333333333,doi_10.21223_HDAREL,74,FALSE,FALSE,Peru,Huancayo,,,FALSE,2019-11-21,2020-05-18,,,,
HDAREL_exp1,3_313,3,potato,CIP312888.039,,,,,33333.3333333333,doi_10.21223_HDAREL,75,FALSE,FALSE,Peru,Huancayo,,,FALSE,2019-11-21,2020-05-18,,,,
HDAREL_exp1,3_314,3,potato,CIP312903.013,,,,,33333.3333333333,doi_10.21223_HDAREL,76,FALSE,FALSE,Peru,Huancayo,,,FALSE,2019-11-21,2020-05-18,,,,
HDAREL_exp1,3_315,3,potato,CIP312895.056,,,,,33333.3333333333,doi_10.21223_HDAREL,77,FALSE,FALSE,Peru,Huancayo,,,FALSE,2019-11-21,2020-05-18,,,,
HDAREL_exp1,3_316,3,potato,CIP312903.077,,,,,33333.3333333333,doi_10.21223_HDAREL,78,FALSE,FALSE,Peru,Huancayo,,,FALSE,2019-11-21,2020-05-18,,,,
HDAREL_exp1,3_317,3,potato,CIP312895.102,,,,,33333.3333333333,doi_10.21223_HDAREL,79,FALSE,FALSE,Peru,Huancayo,,,FALSE,2019-11-21,2020-05-18,,,,
HDAREL_exp1,3_318,3,potato,CIP312903.094,,,,,33333.3333333333,doi_10.21223_HDAREL,80,FALSE,FALSE,Peru,Huancayo,,,FALSE,2019-11-21,2020-05-18,,,,
HDAREL_exp1,3_319,3,potato,CIP312896.133,,,,,33333.3333333333,doi_10.21223_HDAREL,81,FALSE,FALSE,Peru,Huancayo,,,FALSE,2019-11-21,2020-05-18,,,,
HDAREL_exp1,3_320,3,potato,CIP312906.102,,,,,33333.3333333333,doi_10.21223_HDAREL,82,FALSE,FALSE,Peru,Huancayo,,,FALSE,2019-11-21,2020-05-18,,,,
HDAREL_exp1,3_321,3,potato,CIP312899.078,,,,,33333.3333333333,doi_10.21223_HDAREL,83,FALSE,FALSE,Peru,Huancayo,,,FALSE,2019-11-21,2020-05-18,,,,
HDAREL_exp1,3_322,3,potato,CIP312896.012,,,,,33333.3333333333,doi_10.21223_HDAREL,84,FALSE,FALSE,Peru,Huancayo,,,FALSE,2019-11-21,2020-05-18,,,,
HDAREL_exp1,3_323,3,potato,CIP312889.018,,,,,33333.3333333333,doi_10.21223_HDAREL,85,FALSE,FALSE,Peru,Huancayo,,,FALSE,2019-11-21,2020-05-18,,,,
HDAREL_exp1,3_324,3,potato,CIP380389.1,,,,,33333.3333333333,doi_10.21223_HDAREL,86,FALSE,FALSE,Peru,Huancayo,,,FALSE,2019-11-21,2020-05-18,,,,
HDAREL_exp1,3_325,3,potato,CIP312889.082,,,,,33333.3333333333,doi_10.21223_HDAREL,87,FALSE,FALSE,Peru,Huancayo,,,FALSE,2019-11-21,2020-05-18,,,,
HDAREL_exp1,3_326,3,potato,CIP312925.105,,,,,33333.3333333333,doi_10.21223_HDAREL,88,FALSE,FALSE,Peru,Huancayo,,,FALSE,2019-11-21,2020-05-18,,,,
HDAREL_exp1,3_327,3,potato,CIP312927.017,,,,,33333.3333333333,doi_10.21223_HDAREL,89,FALSE,FALSE,Peru,Huancayo,,,FALSE,2019-11-21,2020-05-18,,,,
HDAREL_exp1,3_328,3,potato,CIP312925.108,,,,,33333.3333333333,doi_10.21223_HDAREL,90,FALSE,FALSE,Peru,Huancayo,,,FALSE,2019-11-21,2020-05-18,,,,
HDAREL_exp1,3_329,3,potato,CIP312917.096,,,,,33333.3333333333,doi_10.21223_HDAREL,91,FALSE,FALSE,Peru,Huancayo,,,FALSE,2019-11-21,2020-05-18,,,,
HDAREL_exp1,3_330,3,potato,CIP312923.058,,,,,33333.3333333333,doi_10.21223_HDAREL,92,FALSE,FALSE,Peru,Huancayo,,,FALSE,2019-11-21,2020-05-18,,,,
HDAREL_exp1,3_331,3,potato,CIP312898.077,,,,,33333.3333333333,doi_10.21223_HDAREL,93,FALSE,FALSE,Peru,Huancayo,,,FALSE,2019-11-21,2020-05-18,,,,
