trial_id,plot_id,rep,crop,variety,yield_part,yield,yield_moisture,yield_isfresh,yield_marketable,dataset_id,record_id,on_farm,is_survey,country,location,longitude,latitude,geo_from_source,elevation,planting_date,harvest_date,N_fertilizer,P_fertilizer,K_fertilizer,irrigated
RWIMFO_Patacancha_Mother,11,1,potato,CIP399072.28,tubers,33333,,TRUE,18333,doi_10.21223_P3_RWIMFO,59,TRUE,FALSE,Peru,Patacancha,-72.18757,-13.14994,TRUE,4121,2009-11-10,2010-05-12,,,,
RWIMFO_Patacancha_Mother,12,1,potato,CIP399049.14,tubers,38333,,TRUE,21667,doi_10.21223_P3_RWIMFO,60,TRUE,FALSE,Peru,Patacancha,-72.18757,-13.14994,TRUE,4121,2009-11-10,2010-05-12,,,,
RWIMFO_Patacancha_Mother,13,1,potato,CIP399049.16,tubers,41667,,TRUE,21667,doi_10.21223_P3_RWIMFO,61,TRUE,FALSE,Peru,Patacancha,-72.18757,-13.14994,TRUE,4121,2009-11-10,2010-05-12,,,,
RWIMFO_Patacancha_Mother,14,1,potato,CIP399049.22,tubers,26667,,TRUE,16667,doi_10.21223_P3_RWIMFO,62,TRUE,FALSE,Peru,Patacancha,-72.18757,-13.14994,TRUE,4121,2009-11-10,2010-05-12,,,,
RWIMFO_Patacancha_Mother,15,1,potato,CIP399075.22,tubers,20000,,TRUE,10000,doi_10.21223_P3_RWIMFO,63,TRUE,FALSE,Peru,Patacancha,-72.18757,-13.14994,TRUE,4121,2009-11-10,2010-05-12,,,,
RWIMFO_Patacancha_Mother,16,1,potato,Huayro,tubers,11667,,TRUE,5000,doi_10.21223_P3_RWIMFO,64,TRUE,FALSE,Peru,Patacancha,-72.18757,-13.14994,TRUE,4121,2009-11-10,2010-05-12,,,,
RWIMFO_Patacancha_Mother,17,2,potato,CIP399054.1,tubers,13333,,TRUE,6667,doi_10.21223_P3_RWIMFO,65,TRUE,FALSE,Peru,Patacancha,-72.18757,-13.14994,TRUE,4121,2009-11-10,2010-05-12,,,,
RWIMFO_Patacancha_Mother,18,2,potato,CIP399090.48,tubers,15000,,TRUE,10000,doi_10.21223_P3_RWIMFO,66,TRUE,FALSE,Peru,Patacancha,-72.18757,-13.14994,TRUE,4121,2009-11-10,2010-05-12,,,,
RWIMFO_Patacancha_Mother,19,2,potato,CIP399052.3,tubers,15000,,TRUE,5000,doi_10.21223_P3_RWIMFO,67,TRUE,FALSE,Peru,Patacancha,-72.18757,-13.14994,TRUE,4121,2009-11-10,2010-05-12,,,,
RWIMFO_Patacancha_Mother,20,2,potato,CIP399053.11,tubers,26667,,TRUE,10000,doi_10.21223_P3_RWIMFO,68,TRUE,FALSE,Peru,Patacancha,-72.18757,-13.14994,TRUE,4121,2009-11-10,2010-05-12,,,,
RWIMFO_Patacancha_Mother,21,2,potato,CIP399053.12,tubers,28333,,TRUE,13333,doi_10.21223_P3_RWIMFO,69,TRUE,FALSE,Peru,Patacancha,-72.18757,-13.14994,TRUE,4121,2009-11-10,2010-05-12,,,,
RWIMFO_Patacancha_Mother,22,2,potato,CIP399058.12,tubers,11667,,TRUE,8333,doi_10.21223_P3_RWIMFO,70,TRUE,FALSE,Peru,Patacancha,-72.18757,-13.14994,TRUE,4121,2009-11-10,2010-05-12,,,,
RWIMFO_Patacancha_Mother,23,2,potato,CIP399062.108,tubers,23333,,TRUE,13333,doi_10.21223_P3_RWIMFO,71,TRUE,FALSE,Peru,Patacancha,-72.18757,-13.14994,TRUE,4121,2009-11-10,2010-05-12,,,,
